ID,Start time,Completion time,What were the primary learning objectives of the lesson that you observed?,How did the instructor structure this session?,How did you engage with the instructor? With your peers?,What technology was utilized?,How did the instructor facilitate a supportive environment? What did they do to make it inclusive to all learners?,What specific things do you feel made the instructor effective?,The learning objectives for the lecture/learning activity were clearly stated.,I understood the lecture/learning activity well.,The instructor was prepared and interacted well with the class.,I felt comfortable asking questions.,What were the main themes of the lecture/learning activity?,What other observations/comments do you have to share?
16,11/20/25 14:00:33,11/20/25 14:03:08,Pathogens and Vaccines ,"Through a slide show, they went in order of different pathogens and their history and what types are to be found ",I answered or gave questions ,Computer ,Used big screen to show slideshow and had a pointer they also asked whenever we all were ready ,They were interested and excited about their field of learning/subject,4,4,3,3,Pathogens ,Lots of pictures and diagrams which left me a little confused on what to write on my notes 
17,11/20/25 14:00:32,11/20/25 14:03:08,"Types of pathogens 
Cells
Microorganisms ",Gave brief history before going into the actual lesson which actually was very interesting and helpful.,Looked at the diagrams that actually helped me visualize what was being said.,Power point and diagrams,"Had a lot of diagrams and would expand on all of them. Summarized wording, bullet point that are very helpful. ",Amazing speaking pace. Not to fast but not to slow.,5,4,4,5,Pathogens ,You did amazing. Keep going!!
18,11/20/25 14:00:52,11/20/25 14:03:09,How to fight off disease,Timelines about people then smaller info. Big to small,Her tone and enthusiasm was engaging,"Smart board, laser",Made sure to explain everything good,She was humorous about things so it made them more interesting,5,5,5,5,"Microbiology, transmitted disease, bacteria",She teached well
19,11/20/25 14:00:34,11/20/25 14:03:17,"Micro biology ( Bacteria Fungi protists & virus) 
Cells ",From one pathogen to the next including modern examples ,Nodding my head when asked “are you good?”,Projector ,Including games and tv shows that related to the topic ,Her passion and expertise on the subject ,4,4,5,5,"Pathogens including structure, and examples ",N/a
20,11/20/25 14:00:36,11/20/25 14:03:18,She spoke on pathogens viruses and the way they were transmitted and how they effected the body. ,"She structured it using slides and she consequentially used the slides to explain the topic, she did a great job of using examples that resonated with me and kept me interested in the topic. ",I did not engage with the professor although I will say congratulations! ,She used slides and a laser pointer.,She facilitated to us by making sure we knew that we could interrupt her if she was going too fast.,I really loved her examples that she used such as the games and anime. Those examples kept me engaged and interested in the topic outside of this lecture.,5,4,4,3,"Pathogens, viruses, transmission.",My only concern is she spoke a little too fast.
21,11/20/25 14:00:34,11/20/25 14:03:23,"I. What it means to be a pathogenic organism
2. The characteristics of viral, bacterial, protozoan, and fungal pathogens
3. How some pathogens are treated in the clinic","In slides, using charts, real life examples ",Only listened to her speak ,"Computer, giant green, red light pointer ","Came with an inviting and kind attitude, provided visuals ","Made eye contact with class, caught herself if she was speaking too fast and regulated ",5,3,5,3,"Pathogens , bacteria, viruses ",Try not to use so many charts 
22,11/20/25 14:00:54,11/20/25 14:03:23,"Pathogens , what they are and what types. ",Pretty good.,Paying attention through the whole lesson.,Power point.,She would make eye contact with everyone and will turn to each side.,The way she seems passionate ,5,5,5,5,Pathogens,Good job!
23,11/20/25 14:01:31,11/20/25 14:03:24,Pathegond,"Started with the history, then I got confused after that",We couldn’t really ,Big screen,They had good visuals for visual learners,The diagrams,5,1,5,2,Pathogens,Try to slow down
24,11/20/25 14:00:41,11/20/25 14:03:28,Pathogenes,"With a presentation, starting with history to definitions",Taking notes and asking questions ,A projection (?),She is very knowledgeable with the subject and would ask for pointers on her way of presenting ,She clearly has a very well understanding of the subject,5,3,4,4,Pathogens,She did a really good job but it would be good if she could slow down a bit
25,11/20/25 14:00:48,11/20/25 14:03:34,"What are pathogenic organisms, how they spread, and the different types.","Beginning with discoveries, then dissecting different pathogens.",Not much engagement,"Slides, pointer",Open to questions,Plenty of information provided and she went im deep with history and explaining how everything works,4,3,3,3,Pathogens,"Slow down, though with time I think she’ll be more confident"
26,11/20/25 14:00:42,11/20/25 14:03:35,"What pathogen is, characteristics of pathogens, how some are treated ",Dr. Cilicia Silverio Nascimento,By attentively listening to the class,Projector ,"By making cultural references to help students understand, I do think taking pauses to help students process the information would be good",Her energy ,4,4,4,4,Pathogens ,None
27,11/20/25 14:00:47,11/20/25 14:03:37,viruses infections and how they affect you,utilized slides with information on them while expanded on the bullet points on the slides,"I just listened and took notes,there wasn’t much opportunity for peer engagement ",a projector for powerpoint slides,there was a slide show,a good amount of pictures and examples,4,3,2,2,pathogens,"Slow down a little bit and have more structured talking points, and face students so that we can hear without being muffled :)"
28,11/20/25 14:00:48,11/20/25 14:03:37,The effects of pathogens and its history,"Describe the history, how it spreads , and how pathogens function ",We commented on her jokes,"Projector, microphone, Google Docs ",Found relatable pop culture references to explain new topics,Her sense of humor,5,4,4,2,Pathogens effects,Ask us more questions or start off with one
29,11/20/25 14:00:32,11/20/25 14:03:43,The difference in ways diseases are effective to the body/ organism ,I think this was a very well structured lesson. Especially being her first teaching in a big crowd. ,N/A ,Presentation and laser pointer ,For the most part. ,How interesting she taught and how intrigued she was about The subject ,4,3,2,2,Disease ,Overall a good job! 
30,11/20/25 14:01:46,11/20/25 14:03:46,Pathogens characteristics,Good,Didn't get a chance to,Microsoft PowerPoint ,Sh included anime to grab the attention,No,3,4,3,,Pathogen,No
31,11/20/25 14:00:39,11/20/25 14:03:48,"What is means to be a pathogen, their characteristics, and their treatments ","Started off with the timeline, then the pathogens structure, what they are and then finally how they are treated. ",No,PowerPoint ,She asked multiple times if everyone understood ,She clearly knew the subject that was being discussed ,3,3,3,3,Pathogens ,I felt it was a a lot of material presented to fast. 
32,11/20/25 14:00:26,11/20/25 14:03:50,The Pathogens in our Environment and how they work and effect things ,She gave what she was going to discuss and then stayed in that order ,We did not really engage but she asked throughout if everyone was good ,She used a power point and a pointer ,She asked for feedback throughout ,She knew what she was talking about ,4,3,4,3,Pathogens,Overall pretty good! 
33,11/20/25 14:01:07,11/20/25 14:03:52,"Learn about pathogens, the history, koch’s postulates, how disease is transmitted, types of pathogens, gene transfer, antibiotic resistance, fungi",By separating the topics and introducing the most important topics first.,"We were able to relate to examples she brought up, which started conversation with peers.",A computer and a screen to display the slideshow.,She would relate to us and compare one thing with another to help us understand something better,She talked in a loud clear voice.,4,5,4,5,Pathogens,She would sometimes talk to quickly.
34,11/20/25 14:00:24,11/20/25 14:03:55,"what it means to be a pathogenic organism, characteristics of viral, bacterial, protozoan and fungal pathogens, and how some pathogens are treated in the clinic.","she gave a history of microbiology, and also broke down what a pathogen is. each slide covered a different aspect of the topic. she taught in an organized manner, and very chronological as well. ",I did not. ,a powerpoints slideshow for her lecture ,she let us know we can slow her down if we needed to,she was very nice and seemed open to questions ,4,4,3,3,"pathogens, history of microbio, and how pathogens are treated ",NA
35,11/20/25 14:00:49,11/20/25 14:03:57,Google slides ,Talked about different types of viruses and Pathogens ,Using slides and images ,Google slide ,They spoke loud and clear and tried to get us involved ,Talking ,3,4,4,3,Viruses and pathogens ,Good job on your presentation you’ll get better as times moves on 
36,11/20/25 14:01:05,11/20/25 14:04:01,the primary learning objectives of the lesson that I observed are pathogens and viruses,"she started with a quick introduction, explained the main concepts with clear examples and also reviewed some good key points",I actively listen and take note from what she said,"She used a slide presentation to show the lecture, with clear and concise information ",She was a bit nervous but she performed really well. I like her body language,She included some creative examples in the slides,5,4,5,5,pathogens and viruses,overall she did very well!!
37,11/20/25 14:01:38,11/20/25 14:04:01,To learn about pathogens and viruses,Started with people what they discovered and then how to gramstain and continued with viruses,Asked peers questions and made eye contact with prof,A projector and a laser pointer,Loud to make sure everyone could hear clearly,Made everything simple and interesting,5,5,5,4,Pathogens and viruses,None great job!
38,11/20/25 14:00:45,11/20/25 14:04:02,"Pathogens, viruses and how they are structured. Also, the history of microbiology.","She started at Pathogens, then scientists who hepped found microbiology, then protists, fungi, and ending with viruses and pathogens.",I looked at her slideshow and my peers and I commented on our thoughts and questions.,Slideshow,She had a slideshow and diagrams to see and read.,Her diagrams were colorful and detailed kaiing the slides interesting to look at.,5,5,5,5,Pathogens and viruses,She can slow down sometimes and also ask more open ended questions to us. But overall she did good. :)
39,11/20/25 14:02:31,11/20/25 14:04:03,Parhogens,"History, descriptions, and examples ",Thumbs up,Projector ,Spoke to all sides of the room,Projected her voice ,3,2,4,1,Pathogens ,Slower speech would help with comprehension 
40,11/20/25 14:00:35,11/20/25 14:04:05,"Primarily learning objective I observed was essentially learning everything there is to pathogens including what they are, how they work, what they do, and how they spread.",Through PowerPoint slides that were read off of alongside expanding on the information with their own tidbits.,The instructor made sure to ask at several points whether we understood or not. There wasn't much in terms of peer interaction.,"A laptop/computer, microphone, and projector to be able to take in all the information given to us properly, both audibly and visually.",Made sure to check in on us throughout the lecture.,Their usage of examples was engaging and really helped hammer in the point.,3,4,4,4,"What makes pathogens what they are as well as what they do and their characteristics, also how they spread.",Though there wasn't much for peer interactions it was not necessarily a bad thing.
41,11/20/25 14:00:29,11/20/25 14:04:08,going over the function and living cycle of bacteria ,she did good she was clear and she broke down the information ,taking notes and listening ,powerpoint,"using images, bulletin points","her knowledge with the information and using outside resources to support, her talking about her experience to tie it with the lecture",5,5,5,3,"bacterias, viruses and cycle of living",talking slower so people can hear clearly 
42,11/20/25 14:00:49,11/20/25 14:04:09,Pathogen,"In order of history, different pathogens, and finally treatments of said pathogens","I talked with my peers lowkey, I did the homework early so I recognized some of the stuff","Computer, slideshow, projector","Yes, they made it clear they wanted us to communicate and invited us to do so on multiple occasions.","The slideshow was well put together, the pacing was good, points were clear.",5,5,4,5,Pathogens,I think maybe breaking up the run-on sentences/letting moments breathe would be beneficial. I struggled with sometimes realizing we'd left a point for a different one due to this.
43,11/20/25 14:00:52,11/20/25 14:04:10,Pathogens how they’re transmitted and structured and what they are.,She gave us background and the information of what everything is what they do.,N/A,A computer.,She included modern day trends within the presentation.,Just talking to us.,4,4,4,4,Pathogens,"We could tell you were nervous, which is fine. I believe with more experience you’ll be an excellent professor!!"
44,11/20/25 14:00:48,11/20/25 14:04:13,"The characteristics and functions of viruses, bacteria, and fungi","History, types of Bacteria and their anatomy and functions, then fungi, last bacteria",Listen to the lecture and follow the slides,PowerPoint slides,Used a pointer to help follow along what she was saying,The pointer and slides,3,3,4,3,"Viruses, bacteria, and fungi",I would suggest to slow down a bit and not rush your words 
45,11/20/25 14:00:35,11/20/25 14:04:13,"Pathogens , virus , how microbes work and reproduce ","She went over the inoratiom in slide shows, first sharing history facts and then going further into sections , describing pathogens , then microbes , then antibiotics ","She kept asking if we were good, if we understood. That’s mostly the only way we interacted.",A slideshow software and a projector ,"She made sure everyone understood the concepts, and asked every now and then if we were getting it.","She was energetic, she made sure everyone understood, and overall used nice words and ways to teach.",5,3,4,4,"Pathogens , microbes , antibiotics ","I would say that her lecture would be more effective if she took the time to be a little more clear, instead of trying to go over everything really fast . But overall she did good ."
46,11/20/25 14:00:49,11/20/25 14:04:13,Pathogens and how the work ,She divided the different pathogens and its structures and had a timeline for the history of microbiology ,N/A,Laptop big screen ,Encouraged the class to ask her questions and to stop her if they thought she was going too fast ,The timeline for the history of microbiology ,5,5,5,4,Pathogens,Loved the anime suggestion for how cells work 
47,11/20/25 14:00:22,11/20/25 14:04:18,I learned the different types of pathogens available for the world to interact with. ,She structured it in a very simple and effective presentation from the history of the pathogen then end with the medicine side of it.,It was mostly 1 sided and I wanted to ask a question about last of us but beat me to the punch !,A laser pointer and Microsoft PowerPoint.,I felt it was very 1 sided but the information was very helpful.,Her voice and order of presentation ,1,1,1,3,Pathogen history and the different types ,I wish we had more time for questions but also it felt a bit rushed 
48,11/20/25 14:02:22,11/20/25 14:04:19,"What is a pathogen, types, bacteria, viruses ",Started with the background then explained all 3 of what I wrote in previous question,Did not engage,Computer with projector on a slideshow,Very welcoming voice and very kind,Very good personality focused on PowerPoint and maintained eye contact,5,3,3,2,,She did well just talked to fast at times
49,11/20/25 14:00:48,11/20/25 14:04:20,The primary learning objective was going over how pathogens affect different things and their microbiology as well.,"She went over the background of different scientists and timelines, then focused on the biology of pathogens",I engaged through her use of direct examples that relate to our lives.,A slideshow,She tried to simplify much of the content she had to make it easier to understand for the class,Simplifying the more complex topics of the lecture.,4,5,4,5,How pathogens are passed,She could tie together how the deeper content affects the greater theme of what she is talking about
50,11/20/25 14:00:33,11/20/25 14:04:34,"what is a pathogen
types of pathogens
fungi
viruses ",a powerpoint starting with the history of pathogens and early scientists then moving on to other microorganisms ,ask questions ,powerpoint/ projector ,stopped between topics to check with students,connected topics with other topics of interest,4,4,5,4,pathogens/viruses ,"I recommend adding a bit more text to the powerpoint, the pictures were nice but a bulk of the information was purely auditory. It would help if some of the facts/vocab was put next to the pictures :) "
51,11/20/25 14:01:47,11/20/25 14:04:34,"1. what it means to be a pathogen organism
2. the characteristics of viral, bacterial, protozoan, and fungi pathogens
3. how some pathogens are treated in the clinic",she structured this session by explaining what a pathogen is and then describing the different 4 classes of pathogens ,we didn’t really engage with her since she didn’t ask us questions or told us to turn and talk with our peers,a slideshow presented on the projector,we were provided the slideshow on canvas so we ca follow along on our computers ,,5,3,2,3,,"1. don’t go too fast
2. ask us questions 
3. i like how she further explained the topics"
52,11/20/25 14:00:24,11/20/25 14:04:36,"To understand and dehne pathogenic organisms, which includes the types of pathogenos and is characteristics, Lastly now they are
treated.","Introducing
the general idea of the topic, and as the presentation
continues, it stops to explain organisms, etc.",The instructor took time to know if the class was folling but there was no time to discuss with the classmates,"Powerpoint presentation via projection, where images were provided to show a visual example of the topic covered. And linksto a video to more information on a subject.","Including visual instrument such as images, providing examples on the real world , or more casual. to make the topic fit into the generation (e.g. mentioning fake info shared on tiktok)","She seems to understand the topic enough that the class felt more like a casual talk, making it more engaging to me.",5,4,5,5,Pathogens and all about it ,"use of a tot of vocal fillers, maybe because of the fast speed of the speech. maybe more
breaks"" to avoid the
use
of
vocal
fillers"
53,11/20/25 14:00:43,11/20/25 14:04:38,How pathogens were the cause of diseases to be spread in additon to the importance of isolating the main source. Then exploring the compnets of pathogens ,Through a PowerPoint explaining the origins of diseases and how and why it spreads to easily,Based off her explanation of pathogens spreading in animals we connected it to famous dresses such as Covid 19 or the bubonic plague,She utilized a power point presentation ,She provided real world examples through animes or games that helped strengthen the understanding of the lecture ,I really enjoyed her commentary throughout the lecture as certain statements and examples helped better my understanding ,5,4,4,4,How pathogens have impact on diseases ,Are there specific factors that makes a pathogens/bacteria unkillable?
54,11/20/25 14:00:30,11/20/25 14:04:41,To learn each of the pathogens and how the looked and behaved,Went through each of the pathogens and how they functioned in the body,My peer and I discussed the show she brought up,Computer and slideshow,She let us know we were allowed to ask questions.,Being able to make personal connections,5,4,4,2,To learn what pathogens are and how they invade the body,"Very good overall, just could slow down with speaking a little bit!"
55,11/20/25 14:00:52,11/20/25 14:04:45,"Everything regarding microbiology like it’s structure, history, spreading of pathogens, and components.",She explained everything in little sections separated by slides. She used many graphics and charts to convey information.,There wasn’t any questions asked or like things that she said to make us engage more which was not the best.,The video board was displaying her PowerPoint and she used the lecture microphone.,There were good and engaging graphics used to catch our eyes as well as specific examples she used to make the information more digestible.,"When she used those specific examples I feel as though they were really strong, such as the plague inc one. I played that game all the time and it helped me connect with the lesson on a more personal level.",4,4,4,2,"The main themes were everything regarding microbiology, functions, structure, etc.",None
56,11/20/25 14:01:10,11/20/25 14:04:47,"Pathogens, the types, structure, how they transmit, reproduce.
Antibiotics, resistance, structure.","She had a time line, visuals, graphs, and table with half of the information being spoken to explai what she was showing us.",Very clear and fun ,"Microscope, Microscope, staining",She mentioned how we could ask her to slow down and re explain herself if needed.,The references she used being modern and well known,5,4,5,5,"Pathogens, bacteria, antibiotics ","None,"
57,11/20/25 14:00:29,11/20/25 14:04:54,"We went over locus postulates which is a theory of a pathogen must be present in all cases of the diseases, antibiotics and antibiotic resistance, and different pathogens","The is trust first and through a timeline of the pathogen. Then went over a theory, types of pathogens, and how they are transmitted. Went over an old topic which is required for this topic. Then went into the different pathogens and more about them.",I did not engage with the instructor or peers.,The instruct used games and anime similar to the topic to help use understand. The also used a laser pointer to point out the important parts of the slides.,The teacher made sure to let her know if she was going to fast.,They instructor check in on us to make sure we were still focused and following along.,5,4,5,4,Pathogens antibiotics  and the different kinds of pathogens ,Even though the instructor said she was nervous in the beginning. She taught the lesson very well and made the lesson understandable.
58,11/20/25 14:00:31,11/20/25 14:04:55,Observing pathogens ,I appreciate the formatting of the presentation each topic intertwined with the previous and next header/subheading. ,It was difficult to engage with due to the fast pacing of the lecture. I appreciate her using references from media and her background as well.,Presentation was given over slides.,Using insightful accounts and media references fostered a supportive environment. Through drawing connections I could better grasp the topic.,Her slides allowed for the lecture to be easy to follow.,5,3,4,3,Pathogens ,"It’s clear you are knowledgeable. I recommend talking slower and not moving so quickly through the lecture you have worked so hard to give. No need to rush, you had time on your side."
59,11/20/25 14:00:53,11/20/25 14:04:55,"Pathogens, the types, how they work and some examples of diseases.",PowerPoint lecture. Going through each topic and adding info to each with a structured presentation ,No engagement given to peers (class answers) and I did not have questions for the professor,Her PowerPoint and my laptop,I didn't feel anything like being left out but I was really focused on the notes to take major notice of that,She is cleary very well informed and happy to present this lecture,4,2,2,3,"Pathogens, types, diseases, treatments",She knows her stuff but she is way to fast and hard to understand some of the technical stuff that comes up. I thibk slowing down at key moments would help and focusing more on how the treatments worked. I was struggling to keep up with notes to comprehend what I was listening to vs writing. 
60,11/20/25 14:01:06,11/20/25 14:04:57,"What causes diseases?
How do microorganisms cause diseases?
How can we fight back against pathogens?","Brief history of microbiology, overview of types of pathogens, biology and gene transfer mechanisms of bacteria, explanation of antibiotics and antibiotic resistance, overview of pathogenic protists, overview of pathogenic fungi, explanation of viruses and viral reproduction, overview of disease symptoms",,"PowerPoint, projector","Speaking loudly, pausing for questions",Relating the topic to real life examples,4,5,4,3,,None
61,11/20/25 14:00:40,11/20/25 14:04:58,"1. What it means to be a pathogenic organism 
2. Morphology of the cells/pathogens
3. Good/bad of pathogens","Through slideshows: microbiology timeline, Koch’s postulates, modes of transmission, types of pathogens, morphology ",I listened to her,"Slideshows, diagrams and pictures ",Brought up shows and games to get everyone involved ,Seemed excited to teach,5,5,4,5,Pathogens and how they’re classified/what makes them a pathogen ,"Slow down just a smidge but other than that, it was a great lecture!!!"
62,11/20/25 14:00:30,11/20/25 14:05:04,The learning objectives of the lessons were pathogens in our environment and the history of pathogens. ,"The instructor structured the lesson by starting off with a background of information on pathogens, for example the founding fathers. And then she began giving examples of pathogens and more detailed information.",The instructor engaged with us throughout the lecture by asking if we were okay and if we were understanding the information she was giving us. And she also asked if we needed for her to slow down to let her know. ,The technology she utilized was a PowerPoint slide. ,The instructor facilitated with a supportive environment by asking us to let her know to slow down or go over something again. ,What made the instructor effective was her wide knowledge on pathogens.,3,4,3,4,Pathogens ,N/a
63,11/20/25 14:01:12,11/20/25 14:05:09,,I felt she had the same structure as Professor Gifford. The material was easy to find and follow while she was giving the lecture ,No engagement with the instructor or peers,PowerPoint ,,,5,5,5,5,,She doing. Great! She was speaking fast due to her being nervous which is okay since it is her first time. She was clear when speaking
64,11/20/25 14:00:32,11/20/25 14:05:19,"The primary learning objectives of this lesson had to deal with pathogens, bacteria, antibiotics, diseases etc.",The instructor structured the lesson by paining a slide show to go over what the inner working of what each thing is and then going deeper to explain the process a things associated with it. ,She asked to make sure if everyone was caught up to speed/understood it.  ,She used a PowerPoint. ,I feel like by stopping to to make sure everyone was caught up/understood. ,I liked the speed at which she taught the lesson and the way the PowerPoint was structured specifically with the images. ,4,4,5,4,Pathogens ,great lecture! 
65,11/20/25 14:00:30,11/20/25 14:05:19,The primary learning objective of this lesson was different types of pathogens,"She structured the lesson well, each point in the topic flowed well with the next.",I engaged with the instructor by listening to her.,The technology used during the lecture was the projector.,I think she maintained a supportive environment bringing up things that could help different students learn like the different games and shows. I think this could really help students struggling to learn.,"I think the way she explained the topic, giving information and following it with fun facts or a story made her lesson effective.",5,5,5,5,Pathogens ,Na
66,11/20/25 14:00:34,11/20/25 14:05:19,"Learning about microbiology timelines, pathogens, viruses, bacteria and how it’s transmitted, antibiotics","Throughout the lecture, the instructor engages with us directly, she makes clear introductions on the topic on multiple powerpoint slides.","During Dr. Nascimento’s lecture, she explained how multiple systems worked, along with making jokes and references through the lectures to engage with us! I found it really interesting.",Powerpoint slides,She made sure to let us know every now and then that we’re alright ,I like how she explained things very easily! ,5,4,5,5,"Antibiotics, pathogens, microbiology, etc.",N/A
67,11/20/25 14:00:47,11/20/25 14:05:22,"Modes of transmission, types of pathogens, phylogeny, and prokaryotic morphology. Overall, it was mainly about cells and microbiology.","She broke down the different classes of life, bacteria, pathogens, etc ","I asked her questions about what I didn’t understand, and then talked about what I learned with my peers",A computer and a projector ,by making sure everyone knew exactly what she was talking about ,I like how she knew what she was talking about ,1,1,1,1,"microbiology, bacteria, and bacteria class systems",NA
68,11/20/25 14:00:32,11/20/25 14:05:25,"Difference types of pathogens 
How pathogens spread 
The history of microbiology ",Reading for lectures slides ,We didn’t engage that much,Powerpoint slides ,They checked in with us at multiple point to see if we were keeping up with them,their lecture slides were well designed ,5,4,3,2,Virology and the spread of pathogens ,She was talking very fast
69,11/20/25 14:00:28,11/20/25 14:05:30,"Everything that has to do with Bacteria, fungi, and viruses. How they are structured, how they spread, and how symptoms are shown. ",She did a great job! Every topic was split and easy to follow. She did go a bit fast a first but then she was able to slow down. ,No much time to engage but she did look at us and not just talked to the screen or projector. ,"Projector, pointer, slides",She made the slides accessible for us and also included a couple links that I noticed on her slides. ,The way she structured her lecture. ,5,4,5,5,Pathogens ,You did really good! Just slow down a bit sometimes we as students have lots of things going on and we have to look away and if you are going to fast you can lose out interest because we are just listening but not comprehending! <3
70,11/20/25 14:00:42,11/20/25 14:05:32,"How Batceria, Fungi, and Viruses allows for there to have many types of roles in the body and in the environment we live in.",It was structured in different sections that felt like chapters in order to follow and progress where and when we are in the lecture.,By taking notes,Microsoft,"Facility a supportive environment, by allowing interaction and feedback on what was going on",The topics an being specific on what was being said.,4,3,4,4,"Bacteria, fungi, and viruses",Slow down a little bit when it comes to specific topics.
71,11/20/25 14:01:04,11/20/25 14:05:41,"The characteristics of viral bacteria, protozoan and fungal pathogens",They explained the lesson thoroughly and went through the slides very efficiently,I listened attentively and I took notes,Slides a presentation,I like how they discussed an anime towards the end and laid their personal experience as well as how professionally they went through the slides,Their swift way of teaching,3,3,5,2,"Understanding different types of viral bacteria, pathogenic organisms, and how they affect the body and cells",I enjoyed the lecture. It was very interesting.
72,11/20/25 14:00:48,11/20/25 14:05:45,"Understanding what pathogens and viruses are, the various types, and how they function.",She used a powerpoint and talked about the information on the slides.,We listened to the instructor,The projector,She would make sure everyone was understanding what was being taught and she made it inclusive by including information we might know from outside the classroom.,"The powerpoint was well made, it had just the right amount of information and she spent a sufficient amount of time on each slide.",5,5,5,5,Pathogens and viruses,None as of now
73,11/20/25 14:00:35,11/20/25 14:05:51,"Learning about pathogens and viruses, as well as the different types of pathogens",Dr. Nascimento structured this section by lecturing,N/A,Computer and PowerPoint,She was very welcoming,same as above,5,5,4,5,"Learning about pathogens and viruses, as well as the different types of pathogens","At first, she went fast, but her slides were easy to follow along"
74,11/20/25 14:00:47,11/20/25 14:05:52,"Pathogens, the types, how they grow and how they're transmitted and treated; and other bacteria's and how they grow and interact.","The instructor started when the history of microbiology, then she covered pathogens, antibiotics, fungus, and viruses.",The instructor checked in with the class before starting new topics and would make pop culture references and comparisons.,A Powerpoint presentation and a laser pointer,The instructor utilized mostly graphs in her presentation which is very helpful for visual learners.,The instructor is very knowledgeable about microbiology and gave a lot of information.,5,3,4,5,"Pathogens, fungus, antibiotics, bacteria","The instructor went through the lecture swiftly, which made it a little difficult to follow along. I appreciated the use of graphs and imagery to present the information, but I think having more slides with written facts that are clear and concise, like she had, would make the lecture even more understandable. Overall, however, it is clear the instructor is very knowledgeable and passionate about microbiology, and I was engaged and enjoyed listening."
